;issn;journal_name;citation_count_sum;paper_count_sum;avg_cites_per_paper;ranking;proj_ai
762;1179-1934;cns drugs;2220.0;424.0;5.235849056603773;C;1.4909999999999999
763;0010-0277;cognition;4465.0;825.0;5.412121212121212;B;1.554
764;1866-9964;cognitive computation;578.0;237.0;2.4388185654008443;A;0.57
765;1871-4099;cognitive neurodynamics;420.0;190.0;2.2105263157894743;;0.504
766;1612-4790;cognitive processing;672.0;258.0;2.6046511627906983;;0.619
767;1573-2819;cognitive therapy and research;1172.0;389.0;3.0128534704370185;D;0.7440000000000001
768;1989-1067;collectanea botanica;19.0;31.0;0.6129032258064516;D;0.1
769;2038-4815;collectanea mathematica;98.0;105.0;0.9333333333333332;;0.17
770;0010-0870;college & research libraries;543.0;180.0;3.0166666666666666;B;0.745
771;2150-6701;college & research libraries;543.0;180.0;3.0166666666666666;;0.745
772;1322-7696;collegian;293.0;163.0;1.7975460122699387;B;0.38799999999999996
773;1435-1536;colloid and polymer science;2400.0;1191.0;2.0151133501259446;C;0.44799999999999995
774;1657-9534;colombia medica;178.0;187.0;0.9518716577540108;D;0.175
775;1615-6730;coloproctology;22.0;40.0;0.55;D;0.08800000000000001
776;1432-0916;communications in mathematical physics;3532.0;1186.0;2.9780775716694774;D;0.733
777;1573-2789;community mental health journal;940.0;475.0;1.9789473684210528;B;0.43799999999999994
778;1532-6268;comparative and functional genomics;384.0;158.0;2.430379746835444;;0.568
779;1993-0771;comparative cytogenetics;190.0;129.0;1.4728682170542635;D;0.302
780;1993-078X;comparative cytogenetics;190.0;129.0;1.4728682170542635;;0.302
781;2082-6737;comparative economic research;24.0;51.0;0.4705882352941176;C;0.07200000000000001
782;1476-5926;comparative hepatology;50.0;24.0;2.083333333333333;;0.46799999999999997
783;1661-8262;complex analysis and operator theory;239.0;257.0;0.9299610894941636;D;0.17
784;1099-0526;complexity;420.0;190.0;2.2105263157894743;D;0.504
785;1748-670X;computational and mathematical methods in medicine;1169.0;707.0;1.6534653465346534;D;0.35
786;1748-6718;computational and mathematical methods in medicine;1169.0;707.0;1.6534653465346534;;0.35
787;1572-9346;computational and mathematical organization theory;150.0;103.0;1.4563106796116505;;0.298
788;1420-8954;computational complexity;60.0;49.0;1.2244897959183674;;0.24
789;1572-9974;computational economics;191.0;188.0;1.0159574468085106;D;0.18899999999999997
790;1573-1499;computational geosciences;904.0;279.0;3.240143369175627;;0.815
791;1687-5265;computational intelligence and neuroscience;1039.0;159.0;6.534591194968552;;1.97
792;1687-5273;computational intelligence and neuroscience;1039.0;159.0;6.534591194968552;B;1.97
793;0891-2017;computational linguistics;1002.0;150.0;6.68;D;2.025
794;1530-9312;computational linguistics;1002.0;150.0;6.68;C;2.025
795;1619-6988;computational management science;176.0;95.0;1.8526315789473684;B;0.40299999999999997
796;1432-0924;computational mechanics;1932.0;621.0;3.111111111111111;D;0.775
797;2195-3724;computational methods and function theory;92.0;135.0;0.6814814814814815;B;0.115
798;1573-2894;computational optimization and applications;1079.0;454.0;2.3766519823788546;C;0.552
799;1613-9658;computational statistics;412.0;305.0;1.3508196721311476;C;0.271
800;2096-0662;computational visual media;;;;A;
801;0146-4833;computer communication review;8.0;7.0;1.1428571428571428;D;0.22
802;1820-0214;computer science and information systems;473.0;280.0;1.6892857142857145;D;0.359
803;2406-1018;computer science and information systems;473.0;280.0;1.6892857142857145;A;0.359
804;1436-5057;computing;454.0;249.0;1.823293172690763;C;0.395
805;1433-0369;computing and visualization in science;160.0;91.0;1.7582417582417582;D;0.37799999999999995
806;1134-3478;comunicar;509.0;338.0;1.5059171597633136;A;0.311
807;1988-3293;comunicar;509.0;338.0;1.5059171597633136;B;0.311
808;1607-324X;condensed matter physics;147.0;190.0;0.7736842105263158;D;0.135
809;1752-1505;conflict and health;274.0;106.0;2.5849056603773586;B;0.613
810;1572-9737;conservation genetics;1637.0;741.0;2.2091767881241564;D;0.503
811;1877-7260;conservation genetics resources;1355.0;913.0;1.4841182913472069;D;0.305
812;1523-1739;conservation letters;2046.0;296.0;6.912162162162162;D;2.114
813;1755-263X;conservation letters;2046.0;296.0;6.912162162162162;;2.114
814;1572-9966;constitutional political economy;102.0;83.0;1.2289156626506024;D;0.24100000000000002
815;1432-0940;constructive approximation;286.0;178.0;1.6067415730337078;;0.337
816;0976-2361;contemporary clinical dentistry;566.0;463.0;1.2224622030237582;D;0.239
817;1573-3335;contemporary family therapy;243.0;194.0;1.2525773195876289;D;0.247
818;1872-0226;contemporary islam;54.0;66.0;0.8181818181818182;;0.14400000000000002
819;1876-5165;contemporary jewry;52.0;63.0;0.8253968253968254;;0.146
820;1982-0240;contexto internacional;29.0;46.0;0.6304347826086957;;0.10400000000000001
821;1573-1103;continental philosophy review;50.0;81.0;0.6172839506172839;D;0.10099999999999999
822;1432-0959;continuum mechanics and thermodynamics;360.0;177.0;2.0338983050847457;C;0.45399999999999996
823;0010-7824;contraception;3162.0;1161.0;2.7235142118863047;D;0.655
824;1555-4317;contrast media & molecular imaging;812.0;255.0;3.1843137254901963;A;0.7979999999999999
825;1432-0967;contributions to mineralogy and petrology;2604.0;640.0;4.06875;C;1.0859999999999999
826;1875-9866;contributions to zoology;190.0;76.0;2.5;A;0.588
827;1432-0975;coral reefs;2028.0;637.0;3.183673469387754;A;0.797
828;1555-175X;core evidence;143.0;46.0;3.108695652173913;C;0.774
829;0010-9452;cortex;4189.0;905.0;4.628729281767956;A;1.2770000000000001
830;1478-7547;cost effectiveness and resource allocation;234.0;106.0;2.207547169811321;B;0.503
831;1745-9974;cough;168.0;65.0;2.5846153846153848;;0.613
832;2193-7680;crime science;64.0;24.0;2.6666666666666665;D;0.638
833;1871-9805;criminal law and philosophy;64.0;104.0;0.6153846153846154;D;0.10099999999999999
834;1572-9850;criminal law forum;20.0;50.0;0.4;D;0.059000000000000004
835;1364-8535;critical care;11792.0;3340.0;3.5305389221556887;D;0.9079999999999999
836;1466-609X;critical care;11792.0;3340.0;3.5305389221556887;;0.9079999999999999
837;2090-1313;critical care research and practice;436.0;157.0;2.777070063694268;B;0.6709999999999999
838;1572-9877;critical criminology;163.0;120.0;1.3583333333333334;;0.273
839;2036-3176;critical ultrasound journal;224.0;104.0;2.1538461538461537;;0.488
840;2036-7902;critical ultrasound journal;224.0;104.0;2.1538461538461537;A;0.488
841;1332-8166;croatian medical journal;630.0;370.0;1.7027027027027026;C;0.363
842;0011-1643;croatica chemica acta;236.0;254.0;0.9291338582677166;B;0.16899999999999998
843;1334-417X;croatica chemica acta;236.0;254.0;0.9291338582677166;D;0.16899999999999998
844;1984-7033;crop breeding and applied biotechnology;298.0;251.0;1.1872509960159363;C;0.231
845;0011-2240;cryobiology;1176.0;621.0;1.8937198067632848;B;0.415
846;0011-2275;cryogenics;682.0;517.0;1.319148936170213;;0.263
847;1936-2455;cryptography and communications;76.0;77.0;0.987012987012987;D;0.183
848;2277-9086;csi transactions on ict;27.0;37.0;0.7297297297297297;A;0.125
849;0886-7356;cultural anthropology;501.0;164.0;3.0548780487804885;D;0.757
850;1548-1360;cultural anthropology;501.0;164.0;3.0548780487804885;D;0.757
851;1871-1510;cultural studies of science education;316.0;263.0;1.2015209125475286;C;0.23399999999999999
852;1534-6315;current allergy and asthma reports;1225.0;367.0;3.3378746594005446;B;0.846
853;1534-6242;current atherosclerosis reports;1341.0;366.0;3.663934426229509;D;0.951
854;1931-7220;current bladder dysfunction reports;71.0;98.0;0.7244897959183674;A;0.124
855;1943-4596;current breast cancer reports;102.0;89.0;1.146067415730337;;0.221
856;1534-3170;current cardiology reports;923.0;434.0;2.1267281105990783;C;0.48
857;1941-9074;current cardiovascular imaging reports;187.0;165.0;1.1333333333333333;D;0.217
858;1932-9563;current cardiovascular risk reports;289.0;212.0;1.3632075471698113;;0.27399999999999997
859;1556-3804;current colorectal cancer reports;159.0;111.0;1.4324324324324325;A;0.292
860;1539-0829;current diabetes reports;1810.0;453.0;3.995584988962472;D;1.061
861;1936-377X;current fungal infection reports;180.0;148.0;1.2162162162162162;D;0.23800000000000002
862;1534-312X;current gastroenterology reports;947.0;313.0;3.02555910543131;D;0.748
863;1432-0983;current genetics;383.0;156.0;2.4551282051282053;;0.575
864;1687-7071;current gerontology and geriatrics research;291.0;119.0;2.4453781512605044;B;0.5720000000000001
865;1546-9549;current heart failure reports;587.0;215.0;2.730232558139535;;0.657
866;1558-822X;current hematologic malignancy reports;433.0;190.0;2.2789473684210533;;0.524
867;1534-3111;current hypertension reports;1480.0;375.0;3.9466666666666654;A;1.045
868;1534-3146;current infectious disease reports;692.0;344.0;2.011627906976744;A;0.44799999999999995
869;1467-3037;current issues in molecular biology;183.0;36.0;5.083333333333333;C;1.436
870;1432-0991;current microbiology;2133.0;1093.0;1.9515096065873745;A;0.431
871;1534-6293;current neurology and neuroscience reports;1575.0;399.0;3.947368421052632;B;1.045
872;1718-7729;current oncology;1144.0;532.0;2.1503759398496243;D;0.48700000000000004
873;1534-6269;current oncology reports;925.0;316.0;2.9272151898734178;D;0.7170000000000001
874;1544-2241;current osteoporosis reports;851.0;222.0;3.8333333333333335;B;1.0070000000000001
875;1534-3081;current pain and headache reports;1048.0;350.0;2.994285714285714;A;0.738
876;1535-1645;current psychiatry reports;1896.0;432.0;4.388888888888889;D;1.194
877;1936-4733;current psychology;204.0;143.0;1.426573426573427;C;0.29
878;1994-5426;current research in bacteriology;35.0;28.0;1.25;D;0.24600000000000002
879;2077-2122;current research in bacteriology;35.0;28.0;1.25;A;0.24600000000000002
880;1935-9748;current reviews in musculoskeletal medicine;418.0;162.0;2.580246913580248;C;0.612
881;1534-6307;current rheumatology reports;1329.0;373.0;3.5630026809651474;C;0.919
882;1548-3592;current sexual health reports;46.0;20.0;2.3;D;0.53
883;1534-3189;current treatment options in cardiovascular medicine;358.0;266.0;1.3458646616541354;;0.27
884;1534-309X;current treatment options in gastroenterology;59.0;28.0;2.107142857142857;;0.474
885;1534-3138;current treatment options in neurology;645.0;240.0;2.6875;A;0.644
886;1534-6277;current treatment options in oncology;522.0;188.0;2.776595744680851;D;0.6709999999999999
887;1534-6285;current urology reports;740.0;362.0;2.044198895027624;;0.457
888;1674-5507;current zoology;715.0;354.0;2.019774011299435;;0.45
889;0974-5963;cytojournal;159.0;117.0;1.358974358974359;D;0.273
890;1742-6413;cytojournal;159.0;117.0;1.358974358974359;C;0.273
891;1043-4666;cytokine;3769.0;1366.0;2.759150805270864;B;0.6659999999999999
892;1573-0778;cytotechnology;724.0;368.0;1.9673913043478264;B;0.435
893;1465-3249;cytotherapy;2560.0;729.0;3.5116598079561037;A;0.902
894;1212-1819;czech journal of animal science;305.0;281.0;1.085409252669039;;0.20600000000000002
895;1805-9309;czech journal of animal science;305.0;281.0;1.085409252669039;C;0.20600000000000002
896;1212-1800;czech journal of food sciences;496.0;358.0;1.3854748603351956;A;0.28
897;1805-9317;czech journal of food sciences;496.0;358.0;1.3854748603351956;D;0.28
898;1212-1975;czech journal of genetics and plant breeding;131.0;145.0;0.9034482758620692;D;0.163
899;1805-9325;czech journal of genetics and plant breeding;131.0;145.0;0.9034482758620692;B;0.163
900;1958-5594;dairy science & technology;507.0;222.0;2.283783783783784;;0.525
901;1603-9629;danish medical bulletin;289.0;183.0;1.5792349726775956;C;0.33
902;2352-3409;data in brief;22.0;16.0;1.375;C;0.27699999999999997
903;1573-756X;data mining and knowledge discovery;1034.0;195.0;5.3025641025641015;;1.515
904;1683-1470;data science journal;98.0;115.0;0.8521739130434782;;0.152
905;0976-464X;defence science journal;284.0;304.0;0.9342105263157896;C;0.171
906;1435-9871;demographic research;878.0;392.0;2.239795918367347;D;0.512
907;1533-7790;demography;1973.0;409.0;4.823960880195599;D;1.345
908;1641-1307;dendrobiology;68.0;91.0;0.7472527472527473;D;0.129
909;1125-7865;dendrochronologia;409.0;169.0;2.4201183431952664;;0.565
910;2090-133X;depression research and treatment;324.0;167.0;1.9401197604790417;B;0.428
911;1861-969X;der gastroenterologe;15.0;58.0;0.25862068965517243;A;0.034
912;1432-1289;der internist;173.0;448.0;0.3861607142857143;D;0.055999999999999994
913;1864-9726;der kardiologe;68.0;102.0;0.6666666666666666;D;0.11199999999999999
914;1862-0418;der nephrologe;19.0;65.0;0.2923076923076923;C;0.04
915;1613-6055;der pneumologe;21.0;68.0;0.3088235294117647;D;0.042
916;1027-8117;dermatologica sinica;106.0;137.0;0.7737226277372263;B;0.135
917;2036-7406;dermatology reports;21.0;64.0;0.328125;B;0.046
918;1687-6113;dermatology research and practice;327.0;153.0;2.1372549019607843;A;0.483
919;0011-9164;desalination;15452.0;2782.0;5.554277498202731;B;1.6059999999999999
920;1572-8080;design automation for embedded systems;99.0;72.0;1.375;A;0.27699999999999997
921;1435-1951;deutsche entomologische zeitschrift;35.0;72.0;0.4861111111111111;C;0.075
922;1860-1324;deutsche entomologische zeitschrift;35.0;72.0;0.4861111111111111;A;0.075
923;1432-041X;development genes and evolution;359.0;151.0;2.3774834437086088;B;0.552
924;1878-9293;developmental cognitive neuroscience;1311.0;225.0;5.826666666666667;;1.705
925;1878-9307;developmental cognitive neuroscience;1311.0;225.0;5.826666666666667;;1.705
926;1994-2672;dhaulagiri journal of sociology and anthropology;9.0;28.0;0.32142857142857145;C;0.045
927;1869-6953;diabetes therapy;346.0;110.0;3.145454545454545;A;0.785
928;1869-6961;diabetes therapy;346.0;110.0;3.145454545454545;C;0.785
929;2000-625X;diabetic foot & ankle;136.0;69.0;1.9710144927536235;B;0.436
930;1432-0428;diabetologia;11194.0;1774.0;6.310033821871477;;1.885
931;1758-5996;diabetology & metabolic syndrome;1064.0;367.0;2.8991825613079016;C;0.7090000000000001
932;1305-3825;diagnostic and interventional radiology;551.0;281.0;1.9608540925266904;A;0.433
933;1029-0516;diagnostic and therapeutic endoscopy;173.0;114.0;1.5175438596491229;D;0.314
934;1746-1596;diagnostic pathology;1866.0;891.0;2.0942760942760943;C;0.47100000000000003
935;1573-0786;dialectical anthropology;82.0;110.0;0.7454545454545455;D;0.128
936;1687-4102;differential equations and nonlinear mechanics;0.0;1.0;0.0;D;0.0
937;0301-4681;differentiation;925.0;280.0;3.3035714285714284;B;0.835
938;1573-2568;digestive diseases and sciences;6121.0;2286.0;2.677602799650044;;0.6409999999999999
939;2352-8648;digital communications and networks;;;;D;
940;2278-4543;disaster advances;55.0;84.0;0.6547619047619048;D;0.109
941;1026-0226;discrete dynamics in nature and society;832.0;779.0;1.06803594351733;A;0.20199999999999999
942;1607-887X;discrete dynamics in nature and society;832.0;779.0;1.06803594351733;D;0.20199999999999999
943;1573-7594;discrete event dynamic systems;189.0;89.0;2.1235955056179776;D;0.479
944;0278-0240;disease markers;1246.0;553.0;2.2531645569620253;A;0.516
945;1875-8630;disease markers;1246.0;553.0;2.2531645569620253;A;0.516
946;1754-8403;disease models & mechanisms;2869.0;550.0;5.216363636363637;;1.484
947;1754-8411;disease models & mechanisms;2869.0;550.0;5.216363636363637;D;1.484
948;0141-9382;displays;389.0;185.0;2.1027027027027025;C;0.473
949;2254-0601;disputatio;10.0;30.0;0.3333333333333333;;0.047
950;1573-7578;distributed and parallel databases;189.0;81.0;2.333333333333333;B;0.539
951;1432-0452;distributed computing;487.0;453.0;1.075055187637969;D;0.203
952;1340-2838;dna research;1296.0;216.0;6.0;D;1.77
953;1756-1663;dna research;1296.0;216.0;6.0;B;1.77
954;1431-0643;documenta mathematica;90.0;61.0;1.475409836065574;D;0.303
955;1573-2622;documenta ophthalmologica;467.0;232.0;2.0129310344827585;D;0.44799999999999995
956;1854-2492;documenta praehistorica;72.0;82.0;0.8780487804878049;;0.158
957;1996-9465;drinking water engineering and science;59.0;41.0;1.4390243902439024;D;0.294
958;1996-9481;drinking water engineering and science discussions;2.0;6.0;0.3333333333333333;A;0.047
959;1177-8881;drug design development and therapy;1541.0;486.0;3.1707818930041154;D;0.7929999999999999
960;1880-0920;drug metabolism and pharmacokinetics;800.0;355.0;2.2535211267605635;B;0.516
961;1179-1942;drug safety;1869.0;550.0;3.398181818181818;A;0.865
962;1177-3928;drug target insights;53.0;19.0;2.7894736842105257;A;0.675
963;1179-1950;drugs;3723.0;759.0;4.905138339920948;B;1.3730000000000002
964;1179-1969;drugs & aging;1597.0;455.0;3.50989010989011;D;0.9009999999999999
965;1179-1977;drugs & therapy perspectives;19.0;35.0;0.5428571428571428;B;0.086
966;2346-2183;dyna;395.0;639.0;0.6181533646322379;A;0.10099999999999999
967;2153-0793;dynamic games and applications;191.0;91.0;2.0989010989010994;B;0.47200000000000003
968;1056-2176;dynamic systems and applications;7.0;8.0;0.875;C;0.157
969;2163-7873;dynamics of partial differential equations;85.0;77.0;1.103896103896104;D;0.21
970;0211-9536;dynamis;27.0;40.0;0.675;;0.113
971;1432-0460;dysphagia;877.0;299.0;2.9331103678929766;;0.7190000000000001
972;1573-1707;early childhood education journal;1039.0;471.0;2.2059447983014864;C;0.503
973;1880-5981;earth planets and space;1737.0;666.0;2.608108108108108;D;0.62
974;1865-0481;earth science informatics;125.0;95.0;1.3157894736842106;D;0.262
975;1794-6190;earth sciences research journal;44.0;57.0;0.7719298245614035;D;0.134
976;1866-3508;earth system science data;659.0;86.0;7.662790697674419;D;2.407
977;1866-3516;earth system science data;659.0;86.0;7.662790697674419;D;2.407
978;1874-6284;east asia;49.0;69.0;0.7101449275362319;A;0.121
979;2352-3964;ebiomedicine;45.0;23.0;1.9565217391304348;B;0.4320000000000001
980;1754-6605;ecancermedicalscience;311.0;254.0;1.2244094488188977;D;0.24
981;1612-9210;ecohealth;776.0;254.0;3.0551181102362204;A;0.757
982;1440-1703;ecological research;1101.0;545.0;2.020183486238532;A;0.45
983;1442-8903;ecology and evolution;3390.0;1112.0;3.0485611510791366;;0.755
984;2045-7758;ecology and evolution;3390.0;1112.0;3.0485611510791366;C;0.755
985;1708-3087;ecology and society;4996.0;872.0;5.729357798165138;A;1.67
986;0046-1121;ecology law quarterly;30.0;54.0;0.5555555555555556;D;0.08900000000000001
987;1933-527X;econ journal watch;38.0;96.0;0.3958333333333333;C;0.057999999999999996
988;1982-3533;economia e sociedade;92.0;89.0;1.0337078651685394;D;0.19399999999999998
989;1973-820X;economia politica;44.0;55.0;0.8;B;0.14
990;1874-9364;economic botany;262.0;140.0;1.8714285714285717;;0.409
991;1432-0479;economic theory;797.0;386.0;2.064766839378238;D;0.462
992;1435-8131;economics of governance;77.0;71.0;1.0845070422535212;D;0.20600000000000002
993;2090-2131;economics research international;60.0;89.0;0.6741573033707865;D;0.113
994;2150-8925;ecosphere;2000.0;586.0;3.4129692832764507;;0.87
995;1435-0629;ecosystems;2463.0;506.0;4.867588932806324;D;1.36
996;1573-3017;ecotoxicology;2880.0;920.0;3.1304347826086962;;0.7809999999999999
997;1139-613X;educacion xx1;108.0;105.0;1.0285714285714285;B;0.192
998;1573-7608;education and information technologies;300.0;157.0;1.9108280254777068;D;0.419
999;1682-3206;education as change;104.0;134.0;0.7761194029850746;A;0.135
1000;1947-9417;education as change;104.0;134.0;0.7761194029850746;D;0.135
1001;1068-2341;education policy analysis archives;318.0;243.0;1.308641975308642;A;0.261
1002;1094-5296;education review;0.0;2.0;0.0;B;0.0
1003;1573-336X;educational psychology review;1071.0;144.0;7.4375;B;2.318
1004;1573-1723;educational research for policy and practice;110.0;59.0;1.8644067796610169;D;0.40700000000000003
1005;1573-0816;educational studies in mathematics;814.0;320.0;2.54375;A;0.601
1006;1436-4522;educational technology & society;1905.0;447.0;4.261744966442953;B;1.151
1007;1556-6501;educational technology research and development;993.0;223.0;4.452914798206278;C;1.216
1008;1432-0487;electrical engineering;195.0;152.0;1.2828947368421053;;0.254
1009;1868-5994;electrocatalysis;452.0;200.0;2.26;C;0.518
1010;2186-2451;electrochemistry;424.0;402.0;1.054726368159204;A;0.19899999999999998
1011;1572-9362;electronic commerce research;392.0;114.0;3.4385964912280698;B;0.878
1012;1083-589X;electronic communications in probability;436.0;296.0;1.4729729729729732;A;0.302
1013;0717-3458;electronic journal of biotechnology;607.0;315.0;1.9269841269841268;;0.424
1014;1077-8926;electronic journal of combinatorics;1115.0;962.0;1.159043659043659;D;0.22399999999999998
1015;1072-6691;electronic journal of differential equations;232.0;107.0;2.1682242990654204;D;0.4920000000000001
1016;1081-3810;electronic journal of linear algebra;230.0;257.0;0.8949416342412452;A;0.162
1017;1083-6489;electronic journal of probability;796.0;452.0;1.7610619469026552;B;0.379
1018;1417-3875;electronic journal of qualitative theory of differential equations;24.0;11.0;2.1818181818181817;D;0.496
1019;1935-7524;electronic journal of statistics;931.0;411.0;2.2652068126520684;A;0.52
1020;1422-8890;electronic markets;295.0;134.0;2.201492537313433;D;0.501
1021;2075-2180;electronic proceedings in theoretical computer science;900.0;927.0;0.9708737864077672;;0.179
1022;1079-6762;electronic research announcements in mathematical sciences;49.0;51.0;0.9607843137254902;;0.177
1023;1935-9179;electronic research announcements in mathematical sciences;49.0;51.0;0.9607843137254902;D;0.177
1024;1068-9613;electronic transactions on numerical analysis;69.0;29.0;2.3793103448275863;D;0.5529999999999999
1025;2050-084X;elife;7678.0;911.0;8.428100987925356;A;2.713
1026;1757-4676;embo molecular medicine;4189.0;502.0;8.344621513944222;C;2.68
1027;1757-4684;embo molecular medicine;4189.0;502.0;8.344621513944222;A;2.68
1028;2090-2859;emergency medicine international;220.0;111.0;1.981981981981982;C;0.439
1029;1438-1435;emergency radiology;607.0;333.0;1.8228228228228232;;0.395
1030;1080-6059;emerging infectious diseases;12566.0;2564.0;4.900936037441498;;1.3719999999999999
1031;1742-7622;emerging themes in epidemiology;166.0;58.0;2.862068965517241;A;0.6970000000000001
1032;1988-8384;emerita;8.0;16.0;0.5;D;0.078
1033;1573-6911;empirica;141.0;126.0;1.119047619047619;A;0.214
1034;1435-8921;empirical economics;804.0;485.0;1.6577319587628867;;0.35100000000000003
1035;1573-7616;empirical software engineering;855.0;170.0;5.029411764705882;C;1.4169999999999998
1036;1573-3378;employee responsibilities and rights journal;89.0;83.0;1.072289156626506;D;0.203
1037;1613-4796;endangered species research;960.0;387.0;2.48062015503876;D;0.583
1038;1863-5407;endangered species research;960.0;387.0;2.48062015503876;D;0.583
1039;0160-9327;endeavour;51.0;78.0;0.6538461538461539;B;0.109
1040;1559-0100;endocrine;2485.0;921.0;2.6981541802388707;C;0.647
1041;1348-4540;endocrine journal;1634.0;667.0;2.449775112443778;A;0.573
1042;1559-0097;endocrine pathology;403.0;200.0;2.015;D;0.44799999999999995
1043;2093-5978;endocrinology and metabolism;396.0;209.0;1.8947368421052635;B;0.415
1044;0423-104X;endokrynologia polska;444.0;327.0;1.3577981651376148;D;0.273
1045;2299-8306;endokrynologia polska;444.0;327.0;1.3577981651376148;C;0.273
1046;1996-1073;energies;4153.0;1259.0;3.2986497220015885;C;0.8340000000000001
1047;0360-5442;energy;24349.0;4237.0;5.746754779324994;B;1.676
1048;1570-6478;energy efficiency;508.0;205.0;2.4780487804878053;D;0.5820000000000001
1049;1868-3975;energy systems;283.0;106.0;2.6698113207547167;A;0.639
1050;0100-6916;engenharia agricola;474.0;496.0;0.9556451612903226;C;0.175
1051;1413-4152;engenharia sanitaria e ambiental;126.0;168.0;0.75;B;0.129
1052;1809-4457;engenharia sanitaria e ambiental;126.0;168.0;0.75;D;0.129
1053;2096-0026;engineering;437.0;523.0;0.8355640535372849;B;0.14800000000000002
1054;1994-2060;engineering applications of computational fluid mechanics;283.0;210.0;1.3476190476190475;D;0.27
1055;1997-003X;engineering applications of computational fluid mechanics;283.0;210.0;1.3476190476190475;A;0.27
1056;1816-0948;engineering letters;9.0;13.0;0.6923076923076923;A;0.11699999999999999
1057;1435-5663;engineering with computers;363.0;173.0;2.098265895953757;A;0.47200000000000003
1058;1099-4300;entropy;2123.0;864.0;2.4571759259259256;D;0.5760000000000001
1059;1573-3009;environmental and ecological statistics;187.0;157.0;1.1910828025477709;;0.231
1060;1573-1502;environmental and resource economics;1442.0;434.0;3.3225806451612905;B;0.841
1061;1573-5133;environmental biology of fishes;1135.0;631.0;1.7987321711568938;B;0.389
1062;1610-3661;environmental chemistry letters;925.0;277.0;3.339350180505415;;0.847
1063;1866-6299;environmental earth sciences;7453.0;2967.0;2.511964947758679;D;0.5920000000000001
1064;1573-1510;environmental fluid mechanics;298.0;190.0;1.568421052631579;D;0.327
1065;1573-2983;environmental geochemistry and health;918.0;340.0;2.7;A;0.648
1066;1476-069X;environmental health;2733.0;547.0;4.996343692870202;D;1.406
1067;1347-4715;environmental health and preventive medicine;538.0;263.0;2.0456273764258555;A;0.457
1068;0091-6765;environmental health perspectives;12612.0;1686.0;7.480427046263344;C;2.335
1069;1432-1009;environmental management;2741.0;960.0;2.855208333333333;;0.695
1070;1573-2967;environmental modeling & assessment;354.0;211.0;1.6777251184834123;D;0.35600000000000004
1071;1573-2959;environmental monitoring and assessment;7577.0;3219.0;2.3538365952159057;A;0.545
1072;1748-9326;environmental research letters;6588.0;1191.0;5.531486146095718;D;1.597
1073;1614-7499;environmental science and pollution research;8610.0;2847.0;3.024236037934668;A;0.747
1074;2190-4715;environmental sciences europe;466.0;141.0;3.3049645390070923;A;0.836
1075;2090-0414;enzyme research;644.0;195.0;3.3025641025641024;D;0.835
1076;1755-4365;epidemics;343.0;115.0;2.9826086956521736;B;0.7340000000000001
1077;1878-0067;epidemics;343.0;115.0;2.9826086956521736;C;0.7340000000000001
1078;1742-5573;epidemiologic perspectives & innovations;98.0;19.0;5.157894736842105;;1.463
1079;2090-2980;epidemiology research international;52.0;44.0;1.181818181818182;D;0.22899999999999998
1080;1756-8935;epigenetics & chromatin;776.0;173.0;4.485549132947977;;1.227
1081;1535-7511;epilepsy currents;270.0;228.0;1.1842105263157894;D;0.23
1082;2090-1356;epilepsy research and treatment;185.0;83.0;2.2289156626506026;C;0.509
1083;2193-1127;epj data science;236.0;42.0;5.61904761904762;B;1.629
1084;2100-014X;epj web of conferences;1267.0;1968.0;0.6438008130081301;;0.107
1085;1863-9038;era forum;59.0;79.0;0.7468354430379747;D;0.129
1086;0013-9998;erde;0.0;1.0;0.0;D;0.0
1087;1572-8420;erkenntnis;378.0;339.0;1.1150442477876106;B;0.213
1088;1612-9067;esophagus;172.0;123.0;1.3983739837398377;B;0.28300000000000003
1089;1736-4728;estonian journal of earth sciences;128.0;108.0;1.1851851851851851;C;0.23
1090;1736-7557;estonian journal of earth sciences;128.0;108.0;1.1851851851851851;D;0.23
1091;1559-2731;estuaries and coasts;1709.0;548.0;3.1186131386861318;C;0.777
1092;1982-0275;estudos de psicologia (campinas);215.0;211.0;1.018957345971564;D;0.19
1093;1980-864X;estudos ibero americanos;10.0;14.0;0.7142857142857143;D;0.122
1094;1572-8447;ethical theory and moral practice;199.0;193.0;1.0310880829015543;C;0.193
1095;1654-4951;ethics & global politics;49.0;63.0;0.7777777777777778;B;0.135
1096;1654-6369;ethics & global politics;49.0;63.0;0.7777777777777778;B;0.135
1097;1572-8439;ethics and information technology;430.0;125.0;3.44;A;0.879
1098;1437-1618;ethik in der medizin;75.0;102.0;0.7352941176470589;D;0.126
1099;1225-6463;etri journal;966.0;614.0;1.5732899022801303;B;0.32799999999999996
1100;1573-5060;euphytica;2451.0;1142.0;2.146234676007005;B;0.486
1101;1687-6180;eurasip journal on advances in signal processing;1870.0;1097.0;1.7046490428441203;D;0.363
1102;1687-4722;eurasip journal on audio speech and music processing;226.0;124.0;1.8225806451612905;A;0.395
1103;1687-4153;eurasip journal on bioinformatics and systems biology;58.0;63.0;0.9206349206349206;A;0.16699999999999998
1104;1687-3963;eurasip journal on embedded systems;75.0;53.0;1.4150943396226414;A;0.287
1105;1687-5281;eurasip journal on image and video processing;491.0;207.0;2.3719806763285023;B;0.551
1106;1687-417X;eurasip journal on information security;158.0;39.0;4.051282051282051;B;1.08
