;issn;journal_name;citation_count_sum;paper_count_sum;avg_cites_per_paper;ranking;proj_ai
75;1661-4909;advances in applied clifford algebras;260.0;238.0;1.092436974789916;C;0.20800000000000002
76;1687-7489;advances in artificial intelligence;61.0;64.0;0.953125;D;0.175
77;1687-7608;advances in artificial neural systems;45.0;52.0;0.8653846153846154;D;0.155
78;1687-7969;advances in astronomy;286.0;154.0;1.8571428571428568;D;0.405
79;1687-7977;advances in astronomy;286.0;154.0;1.8571428571428568;D;0.405
80;1861-9533;advances in atmospheric sciences;1014.0;558.0;1.8172043010752688;A;0.39399999999999996
81;1687-8035;advances in bioinformatics;105.0;82.0;1.2804878048780488;A;0.254
82;1687-8094;advances in civil engineering;146.0;122.0;1.1967213114754098;D;0.233
83;1895-1171;advances in cognitive psychology;162.0;80.0;2.025;B;0.451
84;1572-9044;advances in computational mathematics;443.0;225.0;1.968888888888889;A;0.436
85;1687-8108;advances in condensed matter physics;205.0;195.0;1.0512820512820509;C;0.198
86;1687-8124;advances in condensed matter physics;205.0;195.0;1.0512820512820509;A;0.198
87;2090-3367;advances in decision sciences;0.0;1.0;0.0;C;0.0
88;1687-1847;advances in difference equations;1298.0;954.0;1.360587002096436;B;0.27399999999999997
89;1582-7445;advances in electrical and computer engineering;278.0;317.0;0.8769716088328076;D;0.157
90;1844-7600;advances in electrical and computer engineering;278.0;317.0;0.8769716088328076;A;0.157
91;1687-711X;advances in fuzzy systems;128.0;107.0;1.1962616822429906;;0.233
92;1680-7359;advances in geosciences;264.0;216.0;1.2222222222222223;C;0.239
93;1573-1677;advances in health sciences education;1179.0;314.0;3.754777070063694;B;0.981
94;1687-7357;advances in high energy physics;791.0;373.0;2.1206434316353886;D;0.478
95;1687-7365;advances in high energy physics;791.0;373.0;2.1206434316353886;;0.478
96;1687-8434;advances in materials science and engineering;795.0;638.0;1.2460815047021945;C;0.245
97;1687-8442;advances in materials science and engineering;795.0;638.0;1.2460815047021945;D;0.245
98;1687-9120;advances in mathematical physics;210.0;185.0;1.135135135135135;B;0.218
99;1687-8140;advances in mechanical engineering;862.0;765.0;1.126797385620915;A;0.21600000000000005
100;1898-4002;advances in medical sciences;399.0;253.0;1.5770750988142292;D;0.32899999999999996
101;1687-9309;advances in meteorology;538.0;339.0;1.5870206489675516;C;0.332
102;1687-9317;advances in meteorology;538.0;339.0;1.5870206489675516;A;0.332
103;1687-9570;advances in numerical analysis;28.0;40.0;0.7;;0.11900000000000001
104;1687-9155;advances in operations research;53.0;48.0;1.1041666666666667;;0.21
105;1687-6407;advances in optical technologies;126.0;97.0;1.2989690721649485;A;0.258
106;1687-5648;advances in optoelectronics;104.0;81.0;1.2839506172839503;;0.254
107;1687-6342;advances in pharmacological sciences;304.0;100.0;3.04;A;0.752
108;1687-7993;advances in physical chemistry;130.0;71.0;1.8309859154929573;;0.39799999999999996
109;1522-1229;advances in physiology education;576.0;275.0;2.0945454545454547;A;0.47100000000000003
110;1734-4948;advances in rehabilitation;12.0;21.0;0.5714285714285714;D;0.092
111;1992-0636;advances in science and research;151.0;113.0;1.336283185840708;A;0.267
112;1687-8663;advances in software engineering;62.0;49.0;1.2653061224489797;A;0.25
113;1865-8652;advances in therapy;1238.0;420.0;2.9476190476190482;B;0.7240000000000001
114;1687-5923;advances in tribology;71.0;73.0;0.9726027397260274;D;0.179
115;1687-6377;advances in urology;444.0;202.0;2.198019801980198;B;0.5
116;1420-8903;aequationes mathematicae;186.0;170.0;1.0941176470588236;D;0.20800000000000002
117;1573-3025;aerobiologia;391.0;190.0;2.057894736842105;B;0.46
118;1432-5241;aesthetic plastic surgery;1316.0;818.0;1.60880195599022;D;0.33799999999999997
119;0002-0397;africa spectrum;137.0;89.0;1.5393258426966292;A;0.32
120;1868-6869;africa spectrum;137.0;89.0;1.5393258426966292;;0.32
121;1572-9842;african archaeological review;114.0;86.0;1.3255813953488371;D;0.265
122;2305-2562;african invertebrates;88.0;116.0;0.7586206896551724;B;0.131
123;1991-637X;african journal of agricultural research;1298.0;1571.0;0.8262253341820497;D;0.146
124;1684-5315;african journal of biotechnology;6131.0;5804.0;1.056340454858718;D;0.19899999999999998
125;1993-8233;african journal of business management;1184.0;1281.0;0.9242779078844652;;0.168
126;1996-0808;african journal of microbiology research;1931.0;2207.0;0.8749433620299049;D;0.157
127;0974-5998;african journal of paediatric surgery;259.0;295.0;0.8779661016949153;A;0.158
128;1996-0816;african journal of pharmacy and pharmacology;773.0;938.0;0.82409381663113;;0.146
129;2071-2936;african journal of primary health care & family medicine;172.0;181.0;0.9502762430939228;D;0.174
130;1574-4647;age;2046.0;608.0;3.3651315789473686;;0.855
131;1936-606X;ageing international;204.0;119.0;1.7142857142857142;;0.366
132;1098-2337;aging cell;3800.0;585.0;6.495726495726496;A;1.955
133;1474-9718;aging cell;3800.0;585.0;6.495726495726496;;1.955
134;1474-9726;aging cell;3800.0;585.0;6.495726495726496;C;1.955
135;1720-8319;aging clinical and experimental research;812.0;475.0;1.7094736842105265;D;0.365
136;1459-6067;agricultural and food science;375.0;196.0;1.913265306122449;;0.42
137;1795-1895;agricultural and food science;375.0;196.0;1.913265306122449;D;0.42
138;1572-8366;agriculture and human values;873.0;205.0;4.258536585365853;D;1.15
139;1405-3195;agrociencia;211.0;358.0;0.5893854748603352;;0.096
140;2301-1548;agrociencia;211.0;358.0;0.5893854748603352;B;0.096
141;1572-9680;agroforestry systems;876.0;493.0;1.7768762677484786;C;0.38299999999999995
142;1773-0155;agronomy for sustainable development;1884.0;295.0;6.386440677966101;A;1.9140000000000001
143;1435-5655;ai & society;188.0;191.0;0.9842931937172776;B;0.182
144;1573-3254;aids and behavior;5424.0;1285.0;4.221011673151752;B;1.137
145;1742-6405;aids research and therapy;455.0;193.0;2.357512953367876;D;0.546
146;2090-1259;aids research and treatment;416.0;178.0;2.337078651685393;;0.54
147;2158-3226;aip advances;2335.0;1421.0;1.6432090077410275;B;0.34700000000000003
148;0741-8329;alcohol;1168.0;388.0;3.0103092783505154;D;0.743
149;1535-7414;alcohol research & health;356.0;76.0;4.684210526315789;B;1.296
150;1420-8911;algebra universalis;145.0;180.0;0.8055555555555556;;0.142
151;1572-9079;algebras and representation theory;292.0;282.0;1.0354609929078014;C;0.19399999999999998
152;1432-0541;algorithmica;854.0;493.0;1.7322515212981744;D;0.371
153;1999-4893;algorithms;219.0;132.0;1.6590909090909092;B;0.35100000000000003
154;1748-7188;algorithms for molecular biology;505.0;149.0;3.389261744966443;C;0.863
155;1323-8930;allergology international;828.0;315.0;2.628571428571429;C;0.627
156;1440-1592;allergology international;828.0;315.0;2.628571428571429;D;0.627
157;1664-221X;alpine botany;97.0;53.0;1.8301886792452835;D;0.397
158;2191-0855;amb express;841.0;268.0;3.138059701492537;;0.7829999999999999
159;1557-4563;american journal of animal and veterinary sciences;116.0;148.0;0.7837837837837838;D;0.13699999999999998
160;1554-3641;american journal of applied sciences;998.0;876.0;1.139269406392694;A;0.21899999999999997
161;2156-6976;american journal of cancer research;967.0;241.0;4.012448132780083;A;1.067
162;1179-187X;american journal of cardiovascular drugs;487.0;217.0;2.2442396313364057;C;0.514
163;1179-1888;american journal of clinical dermatology;800.0;253.0;3.1620553359683794;;0.79
164;1936-1351;american journal of criminal justice;295.0;158.0;1.8670886075949369;B;0.40700000000000003
165;1573-3262;american journal of dance therapy;45.0;46.0;0.9782608695652174;A;0.18100000000000002
166;1941-7039;american journal of engineering and applied sciences;219.0;228.0;0.9605263157894736;A;0.177
167;1874-9380;american journal of potato research;409.0;260.0;1.5730769230769233;C;0.32799999999999996
168;1943-8141;american journal of translational research;875.0;252.0;3.4722222222222223;B;0.889
169;1582-9146;amfiteatru economic;17.0;33.0;0.5151515151515151;D;0.081
170;2247-9104;amfiteatru economic;17.0;33.0;0.5151515151515151;D;0.081
171;1438-2199;amino acids;4997.0;1521.0;3.2853385930309007;D;0.8290000000000001
172;1075-9964;anaerobe;1852.0;566.0;3.2720848056537104;D;0.825
173;0365-0596;anais brasileiros de dermatologia;1375.0;981.0;1.4016309887869522;D;0.284
174;0212-9728;anales de psicologia;639.0;478.0;1.3368200836820083;D;0.268
175;0211-1322;anales del jardin botanico de madrid;53.0;64.0;0.828125;A;0.147
176;1573-1979;analog integrated circuits and signal processing;789.0;796.0;0.9912060301507538;;0.184
177;1618-2650;analytical and bioanalytical chemistry;15798.0;4518.0;3.4966799468791496;B;0.897
178;1878-3651;analytical cellular pathology;205.0;119.0;1.7226890756302522;B;0.368
179;2210-7177;analytical cellular pathology;205.0;119.0;1.7226890756302522;A;0.368
180;1348-2246;analytical sciences;1163.0;889.0;1.3082114735658044;A;0.26
181;2149-2263;anatolian journal of cardiology;18.0;29.0;0.6206896551724138;D;0.102
182;2149-2271;anatolian journal of cardiology;18.0;29.0;0.6206896551724138;;0.102
183;1447-073X;anatomical science international;153.0;157.0;0.9745222929936306;B;0.18
184;0718-7092;andean geology;250.0;226.0;1.1061946902654871;D;0.21100000000000002
185;0718-7106;andean geology;250.0;226.0;1.1061946902654871;D;0.21100000000000002
186;2090-1275;anemia;193.0;91.0;2.120879120879121;D;0.478
187;1687-6970;anesthesiology research and practice;201.0;102.0;1.9705882352941173;D;0.436
188;1573-7209;angiogenesis;1254.0;264.0;4.75;D;1.319
189;1578-665X;animal biodiversity and conservation;121.0;108.0;1.1203703703703705;D;0.214
190;1435-9456;animal cognition;1505.0;504.0;2.986111111111111;D;0.736
191;0137-1649;animal science papers and reports;169.0;131.0;1.2900763358778626;D;0.256
192;0992-7689;annales geophysicae;1534.0;812.0;1.8891625615763548;D;0.414
193;1432-0576;annales geophysicae;1534.0;812.0;1.8891625615763548;D;0.414
194;0021-2571;annali dell istituto superiore di sanita;385.0;241.0;1.5975103734439835;A;0.335
195;0304-4602;annals academy of medicine singapore;598.0;505.0;1.184158415841584;;0.23
196;1232-1966;annals of agricultural and environmental medicine;865.0;525.0;1.6476190476190475;D;0.348
197;1898-2263;annals of agricultural and environmental medicine;865.0;525.0;1.6476190476190475;D;0.348
198;1532-4796;annals of behavioral medicine;2237.0;436.0;5.1307339449541285;;1.453
199;1573-9686;annals of biomedical engineering;4259.0;1213.0;3.5111294311624066;C;0.902
200;0974-5181;annals of cardiac anaesthesia;224.0;226.0;0.991150442477876;D;0.184
201;1476-0711;annals of clinical microbiology and antimicrobials;632.0;196.0;3.2244897959183683;;0.81
202;0219-3094;annals of combinatorics;146.0;170.0;0.8588235294117647;D;0.153
203;1934-7243;annals of dyslexia;176.0;62.0;2.838709677419355;;0.69
204;1544-1717;annals of family medicine;2199.0;445.0;4.941573033707866;D;1.386
205;1614-2454;annals of finance;149.0;122.0;1.221311475409836;;0.239
206;1844-8135;annals of forest research;102.0;92.0;1.108695652173913;A;0.212
207;2065-2445;annals of forest research;102.0;92.0;1.108695652173913;;0.212
208;1297-966X;annals of forest science;1060.0;477.0;2.2222222222222223;B;0.507
209;1744-859X;annals of general psychiatry;396.0;226.0;1.752212389380531;C;0.376
210;1593-5213;annals of geophysics;590.0;317.0;1.861198738170347;C;0.406
211;2037-416X;annals of geophysics;590.0;317.0;1.861198738170347;;0.406
212;0260-3055;annals of glaciology;905.0;394.0;2.296954314720812;D;0.529
213;1572-9060;annals of global analysis and geometry;265.0;230.0;1.1521739130434785;;0.222
214;1432-0584;annals of hematology;2624.0;1238.0;2.1195476575121157;B;0.478
215;0972-2327;annals of indian academy of neurology;484.0;492.0;0.9837398373983741;B;0.182
216;1998-3549;annals of indian academy of neurology;484.0;492.0;0.9837398373983741;D;0.182
217;2110-5820;annals of intensive care;1062.0;202.0;5.257425742574258;A;1.499
218;1573-7470;annals of mathematics and artificial intelligence;309.0;174.0;1.7758620689655171;B;0.38299999999999995
219;1869-2044;annals of microbiology;1256.0;751.0;1.6724367509986684;C;0.355
220;1864-6433;annals of nuclear medicine;1002.0;524.0;1.9122137404580155;;0.42
221;1572-9338;annals of operations research;2102.0;908.0;2.314977973568282;D;0.534
222;0974-5149;annals of pediatric cardiology;228.0;208.0;1.0961538461538465;D;0.20800000000000002
223;0256-4947;annals of saudi medicine;567.0;446.0;1.2713004484304933;;0.251
224;1867-6944;annals of solid and structural mechanics;41.0;34.0;1.2058823529411764;;0.235
225;1750-1164;annals of surgical innovation and research;93.0;45.0;2.066666666666667;;0.46299999999999997
226;1534-4681;annals of surgical oncology;12969.0;3023.0;4.29010916308303;A;1.16
227;2186-1005;annals of thoracic and cardiovascular surgery;561.0;533.0;1.0525328330206378;B;0.198
228;1817-1737;annals of thoracic medicine;367.0;224.0;1.6383928571428572;C;0.34600000000000003
229;1998-3557;annals of thoracic medicine;367.0;224.0;1.6383928571428572;D;0.34600000000000003
230;0974-6005;annals of tropical medicine and public health;112.0;193.0;0.5803108808290155;A;0.094
231;2083-4594;anthropological review;24.0;41.0;0.5853658536585366;D;0.095
232;0918-7960;anthropological science;105.0;94.0;1.1170212765957446;D;0.214
233;2256-5647;anuario colombiano de historia social y de la cultura;18.0;40.0;0.45;C;0.068
234;1988-4273;anuario de estudios americanos;12.0;29.0;0.4137931034482759;B;0.061
235;1988-4230;anuario de estudios medievales;15.0;35.0;0.42857142857142855;D;0.064
236;2041-2851;aob plants;666.0;231.0;2.883116883116883;;0.7040000000000001
237;1297-9678;apidologie;959.0;346.0;2.7716763005780347;D;0.67
238;2166-532X;apl materials;1262.0;276.0;4.5724637681159415;D;1.2570000000000001
239;1573-675X;apoptosis;2352.0;629.0;3.739268680445152;C;0.976
240;0195-6663;appetite;6479.0;1559.0;4.155869146889032;D;1.115
241;1452-8630;applicable analysis and discrete mathematics;157.0;107.0;1.4672897196261685;A;0.301
242;1687-7675;applied and environmental soil science;326.0;198.0;1.6464646464646464;B;0.348
243;1559-0291;applied biochemistry and biotechnology;5754.0;2551.0;2.2555860446883567;C;0.517
244;1176-2322;applied bionics and biomechanics;90.0;95.0;0.9473684210526316;;0.174
245;1572-9095;applied categorical structures;259.0;339.0;0.7640117994100295;D;0.132
246;1573-4897;applied composite materials;440.0;262.0;1.6793893129770991;A;0.35700000000000004
247;1785-0037;applied ecology and environmental research;132.0;156.0;0.8461538461538461;B;0.151
248;1347-605X;applied entomology and zoology;390.0;329.0;1.1854103343465046;B;0.23
249;1866-928X;applied geomatics;179.0;107.0;1.6728971962616823;B;0.355
250;1179-1896;applied health economics and health policy;511.0;239.0;2.1380753138075312;A;0.483
251;2196-0089;applied informatics;3.0;3.0;1.0;D;0.18600000000000005
252;1573-7497;applied intelligence;869.0;416.0;2.0889423076923075;D;0.469
253;1613-7507;applied magnetic resonance;554.0;443.0;1.2505643340857788;;0.24600000000000002
254;1432-0614;applied microbiology and biotechnology;16794.0;3807.0;4.411347517730497;D;1.202
255;1432-0630;applied physics a;5012.0;3021.0;1.6590532936113869;A;0.35100000000000003
256;1432-0649;applied physics b;3329.0;1986.0;1.6762336354481369;;0.35600000000000004
257;1573-3270;applied psychophysiology and biofeedback;445.0;139.0;3.2014388489208634;D;0.8029999999999999
258;1871-2576;applied research in quality of life;257.0;171.0;1.5029239766081872;B;0.31
259;1874-4621;applied spatial analysis and policy;103.0;67.0;1.537313432835821;C;0.319
260;0044-8486;aquaculture;6370.0;2317.0;2.7492447129909365;A;0.6629999999999999
261;1869-215X;aquaculture environment interactions;364.0;117.0;3.111111111111111;C;0.775
262;1869-7534;aquaculture environment interactions;364.0;117.0;3.111111111111111;D;0.775
263;1573-143X;aquaculture international;718.0;495.0;1.4505050505050503;;0.297
264;1864-7790;aquatic biology;715.0;394.0;1.8147208121827407;;0.39299999999999996
